"expName","subjectId","subjectGender","subjectAge","session","block","trial","targetOri","targetPos","distrMean","dtype","dsd","targetDist","t_dist_to_prev_d","rt","correct","prev_correct"
"distr_stats",1,"F",26,1,43,"3",25,15,91,"norm",15,-66,-66,983.204707893,0,1
"distr_stats",1,"F",26,1,43,"4",25,11,91,"norm",15,-66,-66,999.302646765,1,0
"distr_stats",1,"F",26,1,44,"0",19,12,131,"norm",10,68,-72,811.580080733,1,1
"distr_stats",1,"F",26,1,44,"1",19,2,131,"norm",10,68,-72,749.226784659,1,1
"distr_stats",1,"F",26,1,44,"2",19,35,131,"norm",10,68,-72,624.099380945,1,1
"distr_stats",1,"F",26,1,44,"3",19,31,131,"norm",10,68,-72,780.133899096,1,1
"distr_stats",1,"F",26,1,44,"4",19,23,131,"norm",10,68,-72,592.94549154,1,1
"distr_stats",1,"F",26,1,44,"5",19,21,131,"norm",10,68,-72,655.402317077,1,1
"distr_stats",1,"F",26,1,44,"6",19,3,131,"norm",10,68,-72,764.460788018,1,1
"distr_stats",1,"F",26,1,45,"0",45,21,131,"norm",5,-86,-86,686.628052359,1,1
"distr_stats",1,"F",26,1,45,"1",45,23,131,"norm",5,-86,-86,514.255960332,1,1
"distr_stats",1,"F",26,1,45,"2",45,3,131,"norm",5,-86,-86,670.406056632,1,1
"distr_stats",1,"F",26,1,45,"3",45,24,131,"norm",5,-86,-86,608.147811314,1,1
"distr_stats",1,"F",26,1,45,"4",45,13,131,"norm",5,-86,-86,530.509193397,1,1
"distr_stats",1,"F",26,1,45,"5",45,28,131,"norm",5,-86,-86,702.088749541,1,1
"distr_stats",1,"F",26,1,46,"0",123,5,11,"norm",15,-68,-8,1530.35746918,1,1
"distr_stats",1,"F",26,1,46,"1",123,23,11,"norm",15,-68,-8,793.477597276,1,1
"distr_stats",1,"F",26,1,46,"2",123,10,11,"norm",15,-68,-8,638.856791781,1,1
"distr_stats",1,"F",26,1,46,"3",123,26,11,"norm",15,-68,-8,1014.35190358,1,1
"distr_stats",1,"F",26,1,46,"4",123,12,11,"norm",15,-68,-8,1014.35993604,1,1
"distr_stats",1,"F",26,1,47,"0",20,26,131,"norm",10,69,9,811.742068642,1,1
"distr_stats",1,"F",26,1,47,"1",20,4,131,"norm",10,69,9,686.638762303,1,1
